电影名称,评分,评价人数
模仿游戏,8.6,318219人评价
一个叫欧维的男人决定去死,8.8,166294人评价
房间,8.8,200718人评价
阿飞正传,8.5,263105人评价
香水,8.4,331734人评价
浪潮,8.7,159210人评价
朗读者,8.5,314980人评价
忠犬八公物语,9.1,81982人评价
恐怖游轮,8.4,406250人评价
魔女宅急便,8.5,245974人评价
完美陌生人,8.5,286299人评价
可可西里,8.7,156366人评价
哪吒闹海,8.9,105773人评价
战争之王,8.6,205276人评价
谍影重重,8.5,235285人评价
谍影重重2,8.6,196487人评价
地球上的星星,8.9,106319人评价
牯岭街少年杀人事件,8.8,132824人评价
黑客帝国3：矩阵革命,8.6,196840人评价
一次别离,8.7,156062人评价
海街日记,8.7,181171人评价
追随,8.9,98558人评价
三块广告牌,8.7,410031人评价
惊魂记,8.9,106092人评价
青蛇,8.5,273895人评价
撞车,8.6,203510人评价
小萝莉的猴神大叔,8.5,228187人评价
再次出发之纽约遇见你,8.5,218099人评价
梦之安魂曲,8.7,133011人评价
步履不停,8.8,116856人评价
源代码,8.4,478873人评价
新龙门客栈,8.5,229535人评价
终结者2：审判日,8.6,175571人评价
初恋这件小事,8.3,564253人评价
东京物语,9.2,64334人评价
疯狂的石头,8.3,397781人评价
爱在午夜降临前,8.8,146269人评价
城市之光,9.3,57339人评价
无耻混蛋,8.5,265570人评价
绿里奇迹,8.7,129887人评价
末路狂花,8.7,125228人评价
这个男人来自地球,8.5,222850人评价
E.T. 外星人,8.5,190533人评价
彗星来的那一夜,8.5,238078人评价
勇闯夺命岛,8.6,167101人评价
秒速5厘米,8.3,369985人评价
变脸,8.4,250973人评价
血钻,8.6,168618人评价
聚焦,8.8,156166人评价
黄金三镖客,9.1,63965人评价
发条橙,8.5,217285人评价
天书奇谭,9.1,66712人评价
卡萨布兰卡,8.6,146887人评价
非常嫌疑犯,8.6,145512人评价
碧海蓝天,8.7,117870人评价
国王的演讲,8.3,400878人评价
美国丽人,8.5,218428人评价
海蒂和爷爷,9.1,73285人评价
黑鹰坠落,8.6,147948人评价
我爱你,9.0,74140人评价
千钧一发,8.7,113023人评价
2001太空漫游,8.7,123428人评价
海盗电台,8.6,185285人评价
遗愿清单,8.5,163202人评价
荒野生存,8.6,149974人评价
英国病人,8.5,198221人评价
荒岛余生,8.5,165223人评价
勇士,8.9,100728人评价
枪火,8.7,120109人评价
迁徙的鸟,9.1,58258人评价
攻壳机动队,8.9,73416人评价
